Year,Totals
1970.0,0.21
1977.0,1.25
1978.0,1.18
1979.0,0.31
1981.0,1.88
1982.0,14.45
1983.0,7.15
1984.0,2.63
1985.0,3.95
1986.0,2.86
1987.0,0.65
1988.0,1.47
1989.0,0.71
1990.0,4.83
1991.0,1.96
1992.0,1.39
1993.0,1.62
1994.0,1.83
1995.0,3.03
1996.0,13.22
1997.0,15.25
1998.0,26.4
1999.0,29.37
2000.0,28.83
2001.0,55.55
2002.0,65.89
2003.0,63.52
2004.0,65.5
2005.0,78.55
2006.0,51.63
2007.0,89.38
2008.0,90.02
2009.0,106.02
2010.0,102.55
2011.0,122.82
2012.0,40.24
2013.0,96.39
2014.0,79.68
2015.0,78.98
2016.0,49.88
2017.0,61.63
2018.0,29.76
2019.0,0.22
2020.0,1.48
